,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
152,Tuktoyaktuk,90,CA,1563160022,55,69.44,-133.03,290.15,2.1
153,Le Vauclin,88,MQ,1563160450,78,14.55,-60.84,301.15,8.7
154,Lazaro Cardenas,5,MX,1563160451,16,28.39,-105.62,306.15,2.6
155,Ilulissat,20,GL,1563160034,64,69.22,-51.1,284.15,1.5
156,Prado,86,CO,1563160451,64,3.75,-74.93,298.623,1.25
157,Micomeseng,100,GQ,1563160451,99,2.15,10.62,292.423,0.32
158,Chapais,1,CA,1563160451,87,49.78,-74.86,286.15,1.5
159,Broken Hill,90,AU,1563160452,66,-31.97,141.45,285.15,7.7
160,Kargil,0,PK,1563160452,53,34.56,76.13,284.623,1.96
161,Mahon,40,IE,1563160452,100,51.89,-8.4,287.59,3.1
162,Labuhan,15,ID,1563160452,47,-2.54,115.51,304.423,0.86
163,Potiskum,90,NG,1563160453,82,11.71,11.08,296.623,7.26
164,Black River,20,JM,1563160453,74,18.03,-77.85,302.15,3.6
165,Kieta,81,PG,1563160453,68,-6.22,155.63,301.023,1.72
166,Gusino,5,RU,1563160453,90,54.72,31.37,283.623,1.05
167,Daru,100,PG,1563160454,83,-9.07,143.21,297.623,5.06
168,Bandarbeyla,100,SO,1563160454,63,9.49,50.81,299.023,11.55
169,Dukat,0,AL,1563160454,72,40.25,19.57,293.71,2.17
170,Scarborough,1,GB,1563160454,93,54.28,-0.41,284.82,0.5
171,Soyo,3,AO,1563160455,89,-6.13,12.37,295.223,3.98
172,Nizwa,33,OM,1563160455,43,22.93,57.53,301.223,0.4
173,Poum,0,MK,1563160455,81,41.28,20.71,284.15,2.6
174,Ploemeur,0,FR,1563160266,72,47.73,-3.43,290.37,5.1
175,Lorengau,97,PG,1563160455,81,-2.02,147.27,300.623,3.53
176,Solwezi,0,ZM,1563160455,63,-12.18,26.4,282.623,3.48
177,Souillac,0,FR,1563160456,63,45.6,-0.6,292.59,3.1
178,Cabo San Lucas,20,MX,1563160300,69,22.89,-109.91,306.15,7.2
179,Port Elizabeth,1,US,1563160456,78,39.31,-74.98,300.37,2.56
180,Andilamena,34,MG,1563160456,85,-17.01,48.57,285.023,5.49
181,Faanui,9,PF,1563160456,81,-16.48,-151.75,299.023,5.35
182,Cherskiy,83,RU,1563160457,55,68.75,161.3,283.623,8.66
183,Iqaluit,75,CA,1563160457,87,63.75,-68.52,279.15,2.1
184,Bara,96,NG,1563160457,92,10.41,10.6,295.623,2.26
185,Hithadhoo,95,MV,1563160457,69,-0.6,73.08,301.423,1.85
186,Airai,100,TL,1563160457,49,-8.93,125.41,300.423,0.43
187,Penjamo,4,MX,1563160458,44,30.38,-111.17,307.04,1.34
188,Tungor,72,RU,1563160458,71,53.39,142.95,291.623,6.5
189,Guerrero Negro,0,MX,1563160458,85,27.97,-114.04,292.823,6.23
190,Husavik,0,CA,1563160458,65,50.56,-96.99,300.37,1.34
191,Chattanooga,1,US,1563160458,94,35.05,-85.31,298.15,0.2
192,Palmas de Monte Alto,0,BR,1563160459,44,-14.26,-43.16,291.023,1.32
193,Castro,40,CL,1563160459,93,-42.48,-73.76,278.15,1.5
194,Portland,1,US,1563160300,56,43.66,-70.25,295.37,3.1
195,Belmonte,0,PT,1563160459,67,40.36,-7.35,293.15,0.49
196,Dodge City,1,US,1563160460,61,37.75,-100.02,300.37,3.6
197,Great Falls,1,US,1563160460,47,47.5,-111.29,298.15,4.1
198,East London,0,ZA,1563160298,84,-33.02,27.91,283.823,1.22
199,Terney,99,RU,1563160460,92,45.05,136.61,287.423,2.54
200,Karimpur,100,BD,1563160461,71,23.98,88.63,304.423,3.25
201,Horuphav,23,DK,1563160461,76,54.91,9.9,286.15,3.6
202,Laguna,40,BZ,1563160461,83,16.17,-88.94,300.15,1.2
203,Riyadh,0,SA,1563160461,11,24.63,46.72,301.15,1.0
204,Concarneau,0,FR,1563160275,77,47.88,-3.92,289.15,3.1
205,Aklavik,75,CA,1563160462,53,68.22,-135.01,295.15,4.6
206,Lapua,0,FI,1563160462,100,62.97,23.01,283.71,0.72
207,Mahibadhoo,45,MV,1563160462,66,3.78,72.97,301.823,2.31
208,Udachnyy,40,RU,1563160463,43,66.42,112.4,295.15,1.0
209,Znamenskoye,0,RU,1563160463,55,57.13,73.82,297.023,1.92
210,Vysokogornyy,78,RU,1563160463,49,50.1,139.13,296.623,0.55
211,Pyay,90,MM,1563160464,84,18.82,95.22,299.823,3.09
212,Stara Vyzhivka,0,UA,1563160464,94,51.44,24.44,283.423,2.53
213,Aykhal,40,RU,1563160465,43,65.95,111.51,295.15,1.0
214,Bankfoot,75,GB,1563160465,100,56.5,-3.52,286.48,1.0
215,Chuy,7,UY,1563160465,89,-33.69,-53.46,281.023,1.87
216,Yulara,23,AU,1563160465,41,-25.24,130.99,287.15,8.2
217,Adrar,0,DZ,1563160466,9,27.87,-0.29,308.15,1.49
218,Bambanglipuro,52,ID,1563160466,76,-7.95,110.28,298.223,10.33
219,Laramie,20,US,1563160350,40,41.31,-105.59,296.15,4.6
220,Jalu,0,LY,1563160466,60,29.03,21.55,297.823,3.36
221,Ziarat,0,PK,1563160467,31,30.38,67.73,296.823,0.81
222,Flin Flon,86,CA,1563160467,61,54.77,-101.88,293.423,2.12
223,Oussouye,32,SN,1563160467,82,12.49,-16.54,299.423,5.05
224,Parabel,15,RU,1563160467,51,58.71,81.5,293.823,2.32
225,Upernavik,0,GL,1563160468,66,72.79,-56.15,280.023,4.49
226,Puqi,88,CN,1563160468,81,29.72,113.88,300.423,1.65
227,Ambon,0,FR,1563160229,76,47.55,-2.56,290.37,5.1
228,Jieshi,88,CN,1563160468,75,22.82,115.83,305.37,3.86
229,Yarmouth,5,CA,1563160362,100,43.84,-66.12,289.26,2.1
230,Saint-Georges,37,CA,1563160469,76,46.12,-70.67,290.37,0.89
231,Canico,75,PT,1563160469,77,32.63,-16.85,294.15,5.1
232,Ponta do Sol,0,BR,1563160469,65,-20.63,-46.0,289.223,0.8
233,Provideniya,20,RU,1563160469,81,64.42,-173.23,285.15,8.0
234,Warrnambool,61,AU,1563160470,90,-38.38,142.48,285.93,4.47
235,Ribeira Grande,100,PT,1563160470,66,38.52,-28.7,293.423,3.75
236,Cayenne,91,GF,1563160470,100,4.94,-52.33,297.15,1.38
237,Fuzhou,20,CN,1563160470,70,26.08,119.3,303.15,3.0
238,Colares,20,PT,1563160470,82,38.8,-9.45,292.59,4.1
239,Pitimbu,75,BR,1563160471,100,-7.47,-34.81,296.15,1.0
240,Lyngseidet,0,NO,1563160471,87,69.58,20.21,281.48,3.6
241,Waiuku,100,NZ,1563160471,55,-37.25,174.73,289.26,5.1
242,Eau Claire,1,US,1563160203,78,44.81,-91.5,299.15,2.1
243,Del Rio,1,US,1563160360,41,29.36,-100.9,307.15,5.13
244,Nioro,48,GM,1563160472,76,13.79,-15.05,299.623,4.57
245,Nizhniy Kuranakh,2,RU,1563160472,62,58.84,125.49,298.623,1.25
246,Passagem Franca,4,BR,1563160472,69,-6.18,-43.78,295.423,1.01
247,Dingle,87,PH,1563160473,81,11.0,122.67,301.023,2.82
248,Shubarshi,93,KZ,1563160473,69,48.59,57.19,293.023,8.24
249,Yamachiche,1,CA,1563160473,77,46.28,-72.83,293.15,1.5
250,Sao Joao da Barra,1,BR,1563160473,68,-21.64,-41.05,292.823,1.12
251,Gamba,90,CN,1563160473,58,28.28,88.52,281.423,2.66
252,Alyangula,67,AU,1563160474,50,-13.85,136.42,297.15,5.1
253,Saint-Joseph,20,FR,1563160474,72,43.56,6.97,295.93,2.1
254,Swan River,40,CA,1563160474,95,52.11,-101.27,290.423,0.64
255,Tuxpan,90,MX,1563160474,94,19.56,-103.38,296.15,1.15
256,Taitung,40,TW,1563160474,59,22.76,121.15,306.15,4.6
257,Shakhovskaya,82,RU,1563160475,86,56.03,35.51,284.223,0.85
258,Vredendal,0,ZA,1563160475,81,-31.68,18.49,286.023,2.65
259,Nabire,24,ID,1563160475,62,-3.36,135.5,300.823,2.2
260,Melita,0,CA,1563160475,86,49.27,-100.98,298.15,1.02
261,La Macarena,100,CO,1563160475,95,2.18,-73.79,295.023,0.82
262,Sistranda,75,NO,1563160476,100,63.73,8.83,283.71,4.6
263,Nishihara,75,JP,1563160476,78,35.74,139.53,298.71,2.6
264,Chicama,75,PE,1563160476,88,-7.84,-79.15,290.15,3.6
265,Tabas,71,IR,1563160476,16,33.6,56.92,308.15,1.0
266,Garbolovo,0,RU,1563160477,81,60.34,30.5,284.82,0.54
267,Mitu,0,IR,1563160477,35,36.2,46.09,291.623,1.08
268,Gryazi,0,RU,1563160477,82,52.5,39.96,286.15,1.0
269,Christchurch,38,NZ,1563160436,57,-43.53,172.64,284.82,4.1
270,Guiratinga,42,BR,1563160478,48,-16.35,-53.76,294.623,1.07
271,Dunmore,1,US,1563160478,63,41.42,-75.63,293.71,1.69
272,The Valley,75,AI,1563160478,78,18.22,-63.06,301.15,5.1
273,Peleduy,25,RU,1563160478,45,59.63,112.75,298.623,3.6
274,Bambous Virieux,40,MU,1563160479,88,-20.34,57.76,293.15,5.7
275,Vila Franca do Campo,20,PT,1563160231,77,37.72,-25.43,293.15,3.1
276,Elbistan,0,TR,1563160479,84,38.2,37.19,285.823,0.77
277,Havoysund,100,NO,1563160480,81,71.0,24.66,280.15,1.0
278,Manaure,1,CO,1563160480,78,11.78,-72.45,300.023,11.02
279,Omboue,21,GA,1563160480,86,-1.57,9.26,296.223,6.25
280,Isangel,75,VU,1563160480,69,-19.55,169.27,300.15,3.1
281,Castelldefels,40,ES,1563160481,73,41.29,1.98,297.59,2.6
282,Sao Domingos,0,BR,1563160481,43,-13.4,-46.32,291.623,0.86
283,Chumikan,70,RU,1563160481,70,54.72,135.31,292.223,2.8
284,Jizan,40,SA,1563160482,55,16.89,42.56,306.15,1.5
285,Tasiilaq,100,GL,1563160482,70,65.61,-37.64,281.15,3.6
286,Xuanzhou,20,CN,1563160482,65,30.95,118.78,302.423,2.72
287,Coxim,0,BR,1563160482,49,-18.5,-54.75,296.023,1.35
288,Remanso,0,BR,1563160483,68,-9.62,-42.08,295.223,2.45
289,Derzhavinsk,100,KZ,1563160483,36,51.1,66.31,299.223,6.99
290,Imbituba,75,BR,1563160215,82,-28.24,-48.67,289.15,6.2
291,Mar del Plata,41,AR,1563160483,76,-46.43,-67.52,277.023,5.73
292,Codrington,0,AU,1563160484,33,-28.95,153.24,291.15,8.2
293,Merauke,100,ID,1563160484,81,-8.49,140.4,298.423,10.53
294,La Asuncion,100,AR,1563160484,94,-26.05,-65.39,280.823,0.85
295,Svetlaya,100,RU,1563160484,91,46.54,138.33,287.223,1.46
296,Marsa Matruh,0,EG,1563160485,88,31.35,27.25,296.15,1.5
297,Dzaoudzi,90,YT,1563160485,73,-12.79,45.27,298.15,7.2
298,Garden City,40,US,1563160485,38,43.62,-116.24,304.15,9.8
299,Pangai,40,TO,1563160485,69,-19.8,-174.35,299.15,7.2
300,Princeton,1,US,1563160390,42,40.35,-74.66,300.15,2.6
301,Ciudad Bolivar,0,VE,1563160486,74,8.12,-63.55,299.023,3.3
302,Emerald,100,AU,1563160486,34,-23.53,148.16,290.93,3.1
303,Olga,1,US,1563160486,53,34.11,-118.17,302.15,3.6
304,Bintulu,75,MY,1563160487,83,3.17,113.03,302.15,2.6
305,Bahia Honda,20,CU,1563160487,78,22.9,-83.16,302.023,8.72
306,Itarema,69,BR,1563160487,95,-2.92,-39.92,295.823,1.71
307,Saint Marys,75,US,1563160487,77,41.43,-78.56,292.15,1.31
308,Kiama,0,AU,1563160488,33,-34.67,150.86,290.37,6.2
309,Antofagasta,75,CL,1563160488,76,-23.65,-70.4,285.15,3.1
310,Honiara,75,SB,1563160489,83,-9.43,159.96,301.15,2.6
311,Atar,93,MR,1563160489,21,20.52,-13.05,306.223,3.06
312,Deputatskiy,0,RU,1563160489,37,69.3,139.9,286.623,4.21
313,Ouegoa,100,NC,1563160490,81,-20.34,164.44,295.223,7.07
314,Olinda,75,AU,1563160490,71,-37.84,145.39,286.48,9.3
315,Svetlogorsk,75,RU,1563160490,56,53.14,59.15,294.15,2.0
316,Marsh Harbour,1,BS,1563160490,72,26.54,-77.06,302.223,5.11
317,Lompoc,75,US,1563160299,87,34.64,-120.46,296.15,4.6
318,Narsaq,0,GL,1563160491,71,60.91,-46.05,283.15,0.5
319,Pevek,100,RU,1563160491,97,69.7,170.27,274.223,7.15
320,Bilibino,98,RU,1563160491,84,68.06,166.44,283.823,2.75
321,Alta Floresta,0,BR,1563160491,49,-9.87,-56.08,294.623,1.35
322,Port Shepstone,0,ZA,1563160492,26,-30.74,30.45,288.423,1.38
323,Deder,51,ET,1563160492,68,9.31,41.44,294.423,3.03
324,Sao Miguel,7,BR,1563160492,96,4.52,-61.01,291.423,0.82
325,Takoradi,0,GH,1563160493,94,4.89,-1.75,294.823,1.51
326,Hokitika,100,NZ,1563160493,74,-42.72,170.96,283.023,7.82
327,Hami,95,CN,1563160493,15,42.84,93.51,304.223,5.07
328,Nurota,0,UZ,1563160494,25,40.56,65.69,303.15,2.1
329,Makakilo City,40,US,1563160219,48,21.35,-158.09,304.15,7.2
330,Kungurtug,67,RU,1563160494,70,50.6,97.53,290.023,1.76
331,Yeppoon,100,AU,1563160325,24,-23.13,150.74,292.15,7.2
332,Kutum,99,SD,1563160495,56,14.2,24.66,297.823,4.96
333,Rome,0,IT,1563160122,64,41.89,12.48,297.15,2.1
334,Kudat,75,MY,1563160495,74,6.89,116.84,302.15,2.1
335,Bhatkal,90,IN,1563160291,80,13.97,74.57,299.823,0.67
336,Saint-Pierre,90,FR,1563160496,87,48.95,4.24,287.15,4.1
337,Vaasa,20,FI,1563160496,87,63.1,21.62,285.37,1.0
338,Sicamous,90,CA,1563160496,56,50.84,-118.99,294.15,3.1
339,Uvalde,1,US,1563160372,46,29.21,-99.79,305.37,2.1
340,Basar,90,IN,1563160496,100,27.98,94.69,297.15,3.1
341,Grindavik,90,IS,1563160497,100,63.84,-22.43,287.59,8.2
342,Waki,40,JP,1563160497,61,34.19,132.21,301.15,2.1
343,Valdivia,40,CL,1563160352,100,-39.81,-73.25,278.15,1.0
344,Groningen,90,NL,1563160497,82,53.22,6.57,287.15,2.6
345,Cherdyn,100,RU,1563160498,93,60.4,56.48,287.423,2.27
346,Mahebourg,40,MU,1563160498,88,-20.41,57.7,293.15,5.7
347,Araouane,19,ML,1563160498,26,18.9,-3.53,307.823,2.11
348,Segou,3,SN,1563160498,95,12.41,-12.29,296.623,3.17
349,Skovorodino,98,RU,1563160499,81,53.99,123.94,294.423,3.58
350,Kyabe,100,TD,1563160499,94,9.45,18.94,295.823,1.99
351,Rauma,100,FI,1563160499,87,61.13,21.5,284.15,2.1
352,Norfolk,1,US,1563160500,94,36.85,-76.29,302.15,2.42
353,Faya,80,SA,1563160500,68,18.39,42.45,299.15,2.1
354,Marienburg,75,DE,1563160500,87,52.12,9.98,287.15,2.1
355,Mayumba,99,GA,1563160500,92,-3.44,10.65,294.623,2.13
356,Kuito,0,AO,1563160501,40,-12.38,16.94,282.823,1.68
357,Sinegorye,9,RU,1563160501,33,62.09,150.53,300.623,1.59
358,Bundaberg,73,AU,1563160501,23,-24.87,152.35,293.71,8.2
359,Luderitz,0,NA,1563160501,93,-26.65,15.16,282.15,2.6
360,Aksu,0,KZ,1563160502,57,52.04,76.93,297.15,5.0
361,Sobolevo,100,RU,1563160502,90,54.43,31.9,284.623,0.63
362,Vardo,1,US,1563160502,83,39.62,-77.74,300.15,1.5
363,Putina,0,PE,1563160503,62,-14.91,-69.87,274.623,0.19
364,Nouadhibou,75,MR,1563160208,88,20.93,-17.03,293.15,10.3
365,Norman Wells,75,CA,1563160503,77,65.28,-126.83,291.15,2.6
366,Barra do Garcas,1,BR,1563160503,49,-15.89,-52.26,293.223,0.43
367,Iskateley,96,RU,1563160504,82,67.68,53.15,283.023,1.81
368,Baykit,66,RU,1563160504,61,61.68,96.39,293.223,4.12
369,Abu Samrah,0,SY,1563160504,86,35.3,37.18,291.423,3.74
370,Tarko-Sale,0,RU,1563160504,62,64.92,77.78,300.93,6.61
371,Phan Thiet,50,VN,1563160233,52,10.93,108.1,304.823,4.58
372,Talcahuano,0,CL,1563160505,93,-36.72,-73.12,280.15,1.5
373,Bollnas,99,SE,1563160217,72,61.35,16.39,282.223,3.82
374,Ballitoville,0,ZA,1563160505,93,-29.54,31.21,288.71,0.5
